handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_bd1aec12-fadb-ab79-ac12-76e6107ee558,Product,VAE ENERGY SPRAY,<p>VAE ENERGY SPRAY MANGO</p><p>VAE ENERGY SPRAY MINT</p><p>VAE ENERGY SPRAY MOCHA</p>,8948f1_4d6a628e201344c8b9763f25dc7255f0~mv2.jpg;8948f1_9a2bd08ce76b4c7f850ec784973a2e4f~mv2.png;8948f1_7825348bfdb54d50b1fd93d802734a44~mv2.png;8948f1_3b436a8e86cb422dba17433dbdb17aa5~mv2.png,GENERAL ITEMS;ENERGY SUPPLIMENTS,,,24.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62a94d96-40ce-c4b3-2abf-dbafac99e22d,Product,MAGIC SILK LINGERIE,<p>MAGIC SILK AUDREY FLY AWAY BABY DOLL &amp; G-SET BLACK 2XL</p><p>MAGIC SILK AUDREY FLY AWAY BABY DOLL &amp; G-SET BLACK LARGE</p><p>&nbsp;</p>,8948f1_5b87f49897a045be97d6497d90e0ea97~mv2.jpeg;8948f1_a4404be023f34675813f371fdc3fffda~mv2.jpeg,"ADULT PILLS,  TOYS & ACCESSORIES;GENERAL ITEMS",,,24.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_82172832-6b41-200d-c82e-833708eed78d,Product,SNAKE EYE PEPPER SPRAY,<p>SNAKE EYE PEPPER SPRAY</p>,8948f1_65e0b16f19514775abd49033f99fa930~mv2.jpeg,GENERAL ITEMS,,,9.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a7dc7337-02bb-569d-f37b-55ce41c5319a,Product,WILLIAMS ADULT TOYS,<p>WILLIAMS CLOUD 9 CREATURE COCKS HELL KISS TWISTED SILICONE DILDO</p><p>WILLIAMS CLOUD 9 CREATURE COCKS HORNY DEVIL DEMON SILICONE DILDO</p><p>WILLIAMS CLOUD 9 CREATURE COCKS MONSTROPUS TENTACLED MONSTER DILDO</p>,8948f1_efe08bf2f79a42b8bd6ad9f198383b8b~mv2.png;8948f1_4fee05690bce417aad4e319bc54c3eae~mv2.png;8948f1_1e0f04f9f1e940799f314611052a8b61~mv2.png,"ADULT PILLS,  TOYS & ACCESSORIES",,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f8c8cd5a-3b10-fc51-02b4-46eeddb95965,Product,EVO HOOKAH POD,<p>AVAILABLE IN</p><p>EVO HOOKAH POD BLACK CITY</p><p>EVO HOOKAH POD BLUE RAZZ ICE</p><p>EVO HOOKAH POD DOUBLE APPLE</p><p>EVO HOOKAH POD ENERGY</p><p>EVO HOOKAH POD GRAPE MINT</p><p>EVO HOOKAH POD MINT</p><p>EVO HOOKAH POD ORANGE MINT</p><p>EVO HOOKAH POD PEACH LEMONADE</p><p>EVO HOOKAH POD PEACH MANGO</p><p>EVO HOOKAH POD STRAWBERRY KIWI</p><p>EVO HOOKAH POD STRAWBERRY WATERMELON</p><p>EVO HOOKAH POD VIMTO</p>,8948f1_0ab9e405fc4943cf9ffa79735ec6428a~mv2.jpeg;8948f1_99c3beffb5cf4823a2d60aee857732c4~mv2.png;8948f1_72a64f34daab4f009f24d143ed71bbec~mv2.png;8948f1_6336ce08ab4540d8a054486a970972da~mv2.png;8948f1_5826601feb054f6a84fce59a006d66bd~mv2.png;8948f1_e4da67a4af6f4d81adf41f6a67d4ed57~mv2.jpeg;8948f1_75e530900382440883c1bd7bc36fc198~mv2.png;8948f1_4ef20e26fe4f44649374b36b32f86f43~mv2.png;8948f1_2bf13045c9e64cd1ad3eb7f2c21b2871~mv2.png;8948f1_9faa90ab97584fd2a364cc23b5cd3a0e~mv2.png,HOOKAH;EVO,,,29.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1c552d62-dc02-5e70-0418-5099915f3d41,Product,EVO HOOKAH KIT,<p>AVAILABLE IN&nbsp;</p><p>EVO HOOKAH KIT BLACK CITY&nbsp;</p><p>EVO HOOKAH KIT BLUE RAZZ ICE&nbsp;</p><p>EVO HOOKAH KIT DOUBLE APPLE</p><p>EVO HOOKAH KIT ENERGY</p><p>EVO HOOKAH KIT GRAPE MINT</p><p>EVO HOOKAH KIT LIME</p><p>EVO HOOKAH KIT MINT&nbsp;</p><p>EVO HOOKAH KIT ORANGE MINT</p><p>EVO HOOKAH KIT PEACH LEMONADE&nbsp;</p><p>EVO HOOKAH KIT PEACH MANGO</p><p>EVO HOOKAH KIT STRAWBERRY KIWI&nbsp;</p><p>EVO HOOKAH KIT STRAWBERRY WATERMELON&nbsp;</p><p>EVO HOOKAH KIT VIMTO&nbsp;</p>,8948f1_d586a3dd158b4755b1789678c23392de~mv2.jpg;8948f1_0ab9e405fc4943cf9ffa79735ec6428a~mv2.jpeg;8948f1_794726a14c4c4c78a48f4bcc030fc624~mv2.jpeg;8948f1_c0f871e5fe624dc0abb7a511a4b4025b~mv2.png;8948f1_f59928659f724e5d87d94ba8b44d9506~mv2.jpg;8948f1_930dc142facc4a3f9abc0d8305325b3f~mv2.jpeg;8948f1_e4da67a4af6f4d81adf41f6a67d4ed57~mv2.jpeg;8948f1_b95afb292f36441390b5bae288a50bfb~mv2.png;8948f1_01810818ee794138b5841c364e5e0979~mv2.png,HOOKAH;EVO,,,44.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bf19c588-891b-fefc-4702-eb91282daeb1,Product,KING PALM ROLLIES,<p>KING PALM 2 ROLLIES GELATO CREAM&nbsp;</p><p>KING PALM 2 ROLLIES PERFECT PEAR</p><p>KING PALM 25 ROLLIES</p><p>KING PALM TIP CHERRY CHARM 2 ROLLIES&nbsp;</p><p>&nbsp;</p><p>KING PALM TIP PEACH TREE 2 ROLLIES</p><p>KING PALM TIP PERFECT PEAR 2 ROLLIES</p>,8948f1_c940bf9d48dd4eb59cc04c6fab0e02fe~mv2.jpeg;8948f1_500f27a28ab3477facea861c1f472217~mv2.jpeg;8948f1_8fb76c4bf7754127b718f8f40d91d521~mv2.jpeg;8948f1_a7279381745b498d85102708c6df2199~mv2.jpg;8948f1_064557846d7d49d183d6d30ac9f52f76~mv2.jpg;8948f1_d4872194ea1545cdb19d68a4aafed37e~mv2.jpeg,PAPERS & WRAPS;KING PALM,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f84598a9-7916-7b53-a313-a497dfb4d9fd,Product,TOP PAPER FINE GUMMED,,8948f1_b7bea396891646c4a2ca3ce6da1d5ccb~mv2.jpeg,PAPERS & WRAPS,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2e868e7f-67c1-d36e-8b94-88581baeae67,Product,BLAZY SUSAN  CONE 1.25 6 PACK,<p>BLAZY SUSAN PURPLE CONE 1.25 6 PACK</p><p>BLAZY SUSAN PINK CONE 1.25 6 PACK</p>,8948f1_f961162edd004f64828f5cccfa32215d~mv2.jpeg;8948f1_19f45ff0121c480d8981ec16471fe534~mv2.jpeg,,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f56b3fe7-be04-140d-4b69-b625337ad47f,Product,BLAZY SUSAN  ROLLING PAPER,<p>BLAZY SUSAN PURPLE ROLLING PAPER 1.25&nbsp;</p><p>BLAZY SUSAN DELUXE ROLLING KIT 1.25 (BROWN)</p><p>BLAZY SUSAN DELUXE ROLLING KIT 1.25 (PINK)</p><p>BLAZY SUSAN DELUXE ROLLING KIT 1.25 (PURPLE)</p><p>BLAZY SUSAN DELUXE ROLLING KIT KING SIZE SLIM (BROWN)</p><p>BLAZY SUSAN DELUXE ROLLING KIT KING SIZE SLIM (PINK)&nbsp;</p><p>BLAZY SUSAN DELUXE ROLLING KIT KING SIZE SLIM (PURPLE)</p>,8948f1_58b28b22e0074085ad87315307d3aebd~mv2.jpeg;8948f1_ca0f721b724749838d0c6bd6fab223b0~mv2.jpeg;8948f1_b60ccd411cdb4611adfe31d058225de5~mv2.jpeg;8948f1_aeacd6d310364cfd9e72ccd600eb1f91~mv2.jpeg;8948f1_7f84d15187c94bc48fd659d206d207c4~mv2.jpeg;8948f1_e842f5bf2ccf4241b53567bdb3fa13f4~mv2.jpeg,PAPERS & WRAPS,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
